# Assembly type counts
# Scaffold,452
# Contig,278
# Chromosome,45
# Complete Genome,44
# N/A,40
#
organism_name,assembly_id,assembly_type
Neofusicoccum spp.,GCA_021436925.1,Scaffold
Neofusicoccum spp.,GCA_029906385.1,Chromosome
Neofusicoccum spp.,GCA_037356075.1,Contig
Neofusicoccum spp.,GCA_037356115.1,Contig
Neonectria coccinea,GCA_019137265.1,Scaffold
Neonectria ditissima,GCA_001305505.1,Scaffold
Neonectria faginata,GCA_030864175.1,Contig
Neonectria hederae,GCA_003385265.1,Scaffold
Neonectria magnoliae,GCA_037954305.1,Scaffold
Neonectria neomacrospora,GCA_013756995.1,Scaffold
Neonectria neomacrospora,GCA_917563905.1,N/A
Neonectria punicea,GCA_037954315.1,Scaffold
Oidium heveae,GCA_003957845.1,Scaffold
Ophiosphaerella korrae,GCA_028456385.1,Contig
Ophiostoma ulmi,GCA_029298715.1,Contig
Penicillium aurantiogriseum,GCA_019977855.1,Contig
Penicillium digitatum,GCF_000315645.1,Scaffold
Penicillium expansum,GCF_000769745.1,Contig
Penicillium italicum,GCA_002116305.1,Scaffold
Penicillium spp.,GCA_000347475.1,Scaffold
Penicillium spp.,GCA_000576735.1,Scaffold
Penicillium spp.,GCA_000577495.1,Scaffold
Penicillium spp.,GCA_000733025.2,Scaffold
Penicillium spp.,GCA_001048715.1,Scaffold
Penicillium spp.,GCA_002000375.1,Scaffold
Penicillium spp.,GCA_002072365.1,Scaffold
Penicillium spp.,GCA_002116305.1,Scaffold
Penicillium spp.,GCA_002382855.1,Contig
Penicillium spp.,GCA_002916455.1,Scaffold
Penicillium spp.,GCA_003138045.1,Contig
Penicillium spp.,GCA_003852855.1,Contig
Penicillium spp.,GCA_005250745.2,Scaffold
Penicillium spp.,GCA_008931925.1,Scaffold
Penicillium spp.,GCA_008931935.1,Scaffold
Penicillium spp.,GCA_008931945.1,Scaffold
Penicillium spp.,GCA_011392555.1,Scaffold
Penicillium spp.,GCA_011750695.1,Scaffold
Penicillium spp.,GCA_014839625.1,Scaffold
Penicillium spp.,GCA_015585785.1,Scaffold
Penicillium spp.,GCA_018340795.1,Scaffold
Penicillium spp.,GCA_018410145.1,Scaffold
Penicillium spp.,GCA_019190355.1,Scaffold
Penicillium spp.,GCA_019775275.1,Scaffold
Penicillium spp.,GCA_019775415.1,Scaffold
Penicillium spp.,GCA_019827475.1,Scaffold
Penicillium spp.,GCA_019977855.1,Contig
Penicillium spp.,GCA_020086695.1,Scaffold
Penicillium spp.,GCA_022985105.1,Scaffold
Penicillium spp.,GCA_023626355.1,Scaffold
Penicillium spp.,GCA_023626415.1,Scaffold
Penicillium spp.,GCA_023626435.1,Scaffold
Penicillium spp.,GCA_023626555.1,Scaffold
Penicillium spp.,GCA_023626575.1,Scaffold
Penicillium spp.,GCA_023627375.1,Scaffold
Penicillium spp.,GCA_023627405.1,Scaffold
Penicillium spp.,GCA_024706585.1,Contig
Penicillium spp.,GCA_025586815.1,Scaffold
Penicillium spp.,GCA_026122735.1,Contig
Penicillium spp.,GCA_027569385.1,Contig
Penicillium spp.,GCA_027569415.1,Contig
Penicillium spp.,GCA_027569585.1,Contig
Penicillium spp.,GCA_027569595.1,Contig
Penicillium spp.,GCA_027569675.1,Contig
Penicillium spp.,GCA_028827225.1,Contig
Penicillium spp.,GCA_028827375.1,Contig
Penicillium spp.,GCA_028827385.1,Contig
Penicillium spp.,GCA_028827535.1,Contig
Penicillium spp.,GCA_028827885.1,Contig
Penicillium spp.,GCA_028828245.1,Contig
Penicillium spp.,GCA_028828255.1,Contig
Penicillium spp.,GCA_028828275.1,Contig
Penicillium spp.,GCA_028828865.1,Contig
Penicillium spp.,GCA_028828875.1,Contig
Penicillium spp.,GCA_028828935.1,Contig
Penicillium spp.,GCA_028829675.1,Contig
Penicillium spp.,GCA_028974015.1,Contig
Penicillium spp.,GCA_028974045.1,Contig
Penicillium spp.,GCA_030035635.1,Contig
Penicillium spp.,GCA_030142185.1,Scaffold
Penicillium spp.,GCA_030710325.1,Contig
Penicillium spp.,GCA_030762825.1,Contig
Penicillium spp.,GCA_031761475.1,Scaffold
Penicillium spp.,GCA_034423695.1,Chromosome
Penicillium spp.,GCA_035048945.1,Scaffold
Penicillium spp.,GCA_035985395.1,Complete Genome
Penicillium spp.,GCA_036712075.1,Scaffold
Penicillium spp.,GCA_037040985.1,Scaffold
Penicillium spp.,GCA_037042055.1,Scaffold
Penicillium spp.,GCA_037042135.1,Scaffold
Penicillium spp.,GCA_037042255.1,Scaffold
Penicillium spp.,GCA_037043885.1,Contig
Penicillium spp.,GCA_037356155.1,Contig
Penicillium spp.,GCA_037356195.1,Scaffold
Penicillium spp.,GCA_037414295.1,Contig
Penicillium spp.,GCA_039634405.1,Complete Genome
Penicillium spp.,GCA_911174995.1,N/A
Penicillium spp.,GCA_911197225.1,N/A
Penicillium spp.,GCA_911456345.1,N/A
Penicillium spp.,GCA_911649655.1,N/A
Penicillium spp.,GCA_928213465.1,N/A
Penicillium spp.,GCF_000315645.1,Scaffold
Penicillium spp.,GCF_000769745.1,Contig
Penicillium spp.,GCF_001561935.1,Contig
Penicillium spp.,GCF_001723175.1,Chromosome
Penicillium spp.,GCF_001773325.1,Scaffold
Penicillium spp.,GCF_015533775.1,Scaffold
Penicillium spp.,GCF_028826775.1,Contig
Penicillium spp.,GCF_028826845.1,Contig
Penicillium spp.,GCF_028826855.1,Contig
Penicillium spp.,GCF_028826915.1,Contig
Penicillium spp.,GCF_028826965.1,Contig
Penicillium spp.,GCF_028827025.1,Contig
Penicillium spp.,GCF_028827145.1,Contig
Penicillium spp.,GCF_028827165.1,Contig
Penicillium spp.,GCF_028827245.1,Contig
Penicillium spp.,GCF_028827265.1,Contig
Penicillium spp.,GCF_028827395.1,Contig
Penicillium spp.,GCF_028827405.1,Contig
Penicillium spp.,GCF_028827525.1,Contig
Penicillium spp.,GCF_028827545.1,Contig
Penicillium spp.,GCF_028827555.1,Contig
Penicillium spp.,GCF_028827675.1,Contig
Penicillium spp.,GCF_028827695.1,Contig
Penicillium spp.,GCF_028827735.1,Contig
Penicillium spp.,GCF_028827825.1,Contig
Penicillium spp.,GCF_028827895.1,Contig
Penicillium spp.,GCF_028828005.1,Contig
Penicillium spp.,GCF_028828015.1,Contig
Penicillium spp.,GCF_028828045.1,Contig
Penicillium spp.,GCF_028828085.1,Contig
Penicillium spp.,GCF_028828155.1,Contig
Penicillium spp.,GCF_028828195.1,Contig
Penicillium spp.,GCF_028828445.1,Contig
Penicillium spp.,GCF_028828465.1,Contig
Penicillium spp.,GCF_028828495.1,Contig
Penicillium spp.,GCF_028828555.1,Contig
Penicillium spp.,GCF_028828655.1,Contig
Penicillium spp.,GCF_028828765.1,Contig
Penicillium spp.,GCF_028829455.1,Contig
Penicillium spp.,GCF_028829465.1,Contig
Penicillium spp.,GCF_028829585.1,Contig
Penicillium spp.,GCF_028829765.1,Contig
Penicillium spp.,GCF_028829775.1,Contig
Penicillium spp.,GCF_028829835.1,Contig
Penicillium spp.,GCF_028974065.1,Contig
Penicillium spp.,GCF_028974085.1,Contig
Penicillium spp.,GCF_028974205.1,Contig
Peronospora belbahrii,GCA_920618645.1,N/A
Peronospora destructor,GCA_011800735.1,Contig
Peronospora farinosa,GCA_947646735.1,N/A
Peronospora tabacina,GCA_002099245.1,Scaffold
Peronospora viciae f.sp. pisi,GCA_002099245.1,Scaffold
Peronospora viciae f.sp. pisi,GCA_011800735.1,Contig
Peronospora viciae f.sp. pisi,GCA_920618645.1,N/A
Peronospora viciae f.sp. pisi,GCA_921007115.2,N/A
Peronospora viciae f.sp. pisi,GCA_947646735.1,N/A
Phaeoacremonium minimum UCRPA7,GCF_000392275.1,Scaffold
Phaeoacremonium spp.,GCF_000392275.1,Scaffold
Phoma herbarum,GCA_001599375.1,Scaffold
Phoma spp.,GCA_001599375.1,Scaffold
Phoma spp.,GCA_004335185.1,Contig
Phoma spp.,GCA_004835665.1,Scaffold
Phoma spp.,GCA_033444525.1,Scaffold
Phoma spp.,GCA_033682645.1,Contig
Phyllachora maydis,GCA_029339225.1,Scaffold
Phyllosticta spp.,GCA_020351975.1,Contig
Phyllosticta spp.,GCA_038021145.1,Contig
Phyllosticta spp.,GCA_038025025.1,Contig
Phyllosticta spp.,GCA_038051015.1,Contig
Phyllosticta spp.,GCA_038380885.1,Contig
Phyllosticta spp.,GCA_038381195.1,Contig
Phymatotrichopsis omnivora,GCA_016880775.1,Scaffold
Plasmopara (syn. Peronospora) spp.,GCA_001695595.3,Scaffold
Plasmopara (syn. Peronospora) spp.,GCA_002099245.1,Scaffold
Plasmopara (syn. Peronospora) spp.,GCA_003676415.1,Scaffold
Plasmopara (syn. Peronospora) spp.,GCA_011800735.1,Contig
Plasmopara (syn. Peronospora) spp.,GCA_920618645.1,N/A
Plasmopara (syn. Peronospora) spp.,GCA_921007115.2,N/A
Plasmopara (syn. Peronospora) spp.,GCA_947646735.1,N/A
Plasmopara (syn. Peronospora) spp.,GCF_900000015.1,N/A
Plasmopara halstedii,GCF_900000015.1,N/A
Plasmopara muralis,GCA_003676415.1,Scaffold
Plasmopara viticola,GCA_001695595.3,Scaffold
Pleurotus ostreatus,GCA_024196135.1,Scaffold
Pleurotus ostreatus,GCF_014466165.1,Contig
Podosphaera aphanis,GCA_022627015.2,Scaffold
Podosphaera fusca,GCA_030378345.1,Chromosome
Podosphaera leucotricha,GCA_013170925.1,Contig
Podosphaera xanthii,GCA_028751805.1,Contig
Pseudoperonospora humuli,GCA_003991265.1,Scaffold
Puccinia brachypodii,GCA_019395275.1,Scaffold
Puccinia coronata,GCA_002873125.1,Contig
Puccinia graminis,GCF_000149925.1,Scaffold
Puccinia hordei,GCA_007896445.1,Contig
Puccinia horiana,GCA_001624995.1,Contig
Puccinia novopanici,GCA_004348175.1,Contig
Puccinia polysora,GCA_025617555.3,Chromosome
Puccinia sorghi,GCA_001263375.1,Scaffold
Puccinia spp.,GCA_001263375.1,Scaffold
Puccinia spp.,GCA_001624995.1,Contig
Puccinia spp.,GCA_002873125.1,Contig
Puccinia spp.,GCA_004348175.1,Contig
Puccinia spp.,GCA_007896445.1,Contig
Puccinia spp.,GCA_019395275.1,Scaffold
Puccinia spp.,GCA_025617555.3,Chromosome
Puccinia spp.,GCF_000149925.1,Scaffold
Puccinia spp.,GCF_021901695.1,Chromosome
Puccinia spp.,GCF_026914185.1,Complete Genome
Puccinia striiformis,GCF_021901695.1,Chromosome
Puccinia triticina,GCF_026914185.1,Complete Genome
Ramularia coccinea,GCA_013461505.1,Contig
Ramularia collo-cygni,GCF_900074925.1,N/A
Rhizoctonia solani,GCF_016906535.1,Complete Genome
Rhizoctonia spp.,GCF_016906535.1,Complete Genome
Rhizopus spp.,GCA_000149305.1,Scaffold
Rhizopus spp.,GCA_000697035.1,Contig
Rhizopus spp.,GCA_024220505.1,Contig
Rhizopus spp.,GCA_025529335.1,Scaffold
Rhizopus spp.,GCF_002708625.1,Scaffold
Rhizopus stolonifer,GCA_000697035.1,Contig
Rhytidhysteron rufulum,GCA_000467735.1,Contig
Rosellinia necatrix,GCA_021209875.1,Contig
Schizophyllum commune,GCF_000143185.2,Scaffold
Sclerotinia borealis,GCA_000503235.1,Scaffold
Sclerotinia minor,GCA_025389075.1,Contig
Sclerotinia nivalis,GCA_029531795.1,Contig
Sclerotinia sclerotiorum,GCF_000146945.2,Scaffold
Sclerotinia spermophila,GCA_038090695.1,Scaffold
Sclerotinia spp.,GCA_000503235.1,Scaffold
Sclerotinia spp.,GCA_002162575.1,Scaffold
Sclerotinia spp.,GCA_025389075.1,Contig
Sclerotinia spp.,GCA_025389085.1,Contig
Sclerotinia spp.,GCA_029531795.1,Contig
Sclerotinia spp.,GCA_038090695.1,Scaffold
Sclerotinia spp.,GCA_905066765.1,N/A
Sclerotinia spp.,GCF_000146945.2,Scaffold
Sclerotinia subarctica,GCA_025389085.1,Contig
Sclerotinia trifoliorum,GCA_905066765.1,N/A
Septoria linicola,GCA_024114885.1,Complete Genome
Septoria petroselini,GCA_022559915.2,Scaffold
Septoria spp.,GCA_022559915.2,Scaffold
Septoria spp.,GCA_024114885.1,Complete Genome
Spongospora subterranea,GCA_900404475.1,N/A
Stemphylium beticola,GCA_029100535.1,Scaffold
Stemphylium lycopersici,GCA_003268315.1,Scaffold
Stemphylium spp.,GCA_003268315.1,Scaffold
Stemphylium spp.,GCA_004380135.1,Scaffold
Stemphylium spp.,GCA_029100535.1,Scaffold
Stemphylium vesicarium,GCA_004380135.1,Scaffold
Stereum hirsutum FP-91666 SS1,GCF_000264905.1,Scaffold
Stereum spp.,GCF_000264905.1,Scaffold
Taphrina betulina,GCA_008802775.1,Scaffold
Taphrina communis,GCA_005281525.1,Scaffold
Taphrina confusa,GCA_005281535.1,Scaffold
Taphrina deformans,GCA_005281575.1,Scaffold
Taphrina flavorubra JCM 22207,GCA_000836175.1,Scaffold
Taphrina populina JCM 22190,GCA_000836195.1,Scaffold
Taphrina spp.,GCA_000836175.1,Scaffold
Taphrina spp.,GCA_000836195.1,Scaffold
Taphrina spp.,GCA_004000165.1,Contig
Taphrina spp.,GCA_005281515.1,Scaffold
Taphrina spp.,GCA_005281525.1,Scaffold
Taphrina spp.,GCA_005281535.1,Scaffold
Taphrina spp.,GCA_005281575.1,Scaffold
Taphrina spp.,GCA_005281585.1,Scaffold
Taphrina spp.,GCA_008802775.1,Scaffold
Taphrina wiesneri,GCA_005281515.1,Scaffold
Thielaviopsis ethacetica,GCA_001599055.1,Scaffold
Thielaviopsis musarum,GCA_001513885.1,Scaffold
Thielaviopsis punctulata,GCA_036034705.1,Chromosome
Thielaviopsis spp.,GCA_001513885.1,Scaffold
Thielaviopsis spp.,GCA_001599055.1,Scaffold
Thielaviopsis spp.,GCA_001599615.1,Scaffold
Thielaviopsis spp.,GCA_016859225.1,Scaffold
Thielaviopsis spp.,GCA_017591655.1,Scaffold
Thielaviopsis spp.,GCA_036034705.1,Chromosome
Trametes gibbosa,GCA_022606055.1,Contig
Trametes hirsuta,GCA_001302255.2,Chromosome
Trametes pubescens,GCA_001895945.1,Scaffold
Trametes versicolor,GCF_000271585.1,Scaffold
Trametes versicolor FP-101664 SS1,GCF_000271585.1,Scaffold
Trichoderma asperellum,GCF_003025105.1,Scaffold
Uromyces viciae-fabae,GCA_000785685.1,Scaffold
Ustulina deusta,GCA_023159155.1,Contig
Venturia asperata,GCA_003689335.1,Scaffold
Venturia aucupariae,GCA_003693225.1,Scaffold
Venturia carpophila,GCA_014858625.1,Contig
Venturia effusa,GCA_007735645.1,Complete Genome
Venturia nashicola,GCA_004522665.1,Contig
Venturia oleaginea,GCA_013176395.1,Contig
Venturia pyrina ICMP 11032,GCA_000738655.1,Scaffold
Verticillium albo-atrum,GCA_002851705.1,Scaffold
Verticillium alfalfae VaMs.102,GCF_000150825.1,Scaffold
Verticillium dahliae,GCF_000150675.1,Scaffold
Verticillium dahliae VdLs.17,GCF_000150675.1,Scaffold
Verticillium isaacii,GCA_002851775.1,Scaffold
Verticillium klebahnii,GCA_002851715.1,Scaffold
Verticillium longisporum,GCA_019188255.1,Scaffold
Verticillium nonalfalfae,GCF_003724135.2,Scaffold
Verticillium spp.,GCA_000732205.1,Scaffold
Verticillium spp.,GCA_002851675.1,Scaffold
Verticillium spp.,GCA_002851705.1,Scaffold
Verticillium spp.,GCA_002851715.1,Scaffold
Verticillium spp.,GCA_002851755.1,Scaffold
Verticillium spp.,GCA_002851775.1,Scaffold
Verticillium spp.,GCA_019188255.1,Scaffold
Verticillium spp.,GCF_000150675.1,Scaffold
Verticillium spp.,GCF_000150825.1,Scaffold
Verticillium spp.,GCF_003724135.2,Scaffold
Verticillium zaregamsianum,GCA_002851755.1,Scaffold
